probInfected:0.001,probVaccine:0.001,contagion:0.5,sexOnInfection:3,sexOnVaccine:3,vaccineOnInfection:3,promiscuityPopulation:0.1,numPatients:200
step,agent,sex,treatment,outcome,count_infected,cumulative_distance
1,Patient_168,false,false,false,0,0.0
1,Patient_169,false,false,false,0,0.0
1,Patient_170,true,false,false,0,0.0
1,Patient_171,false,false,false,0,0.0
1,Patient_172,true,false,false,0,0.0
1,Patient_173,true,false,false,0,0.0
1,Patient_174,true,false,false,0,0.0
1,Patient_175,true,false,false,0,0.0
1,Patient_176,false,false,false,0,0.0
1,Patient_177,false,false,false,0,0.0
1,Patient_178,false,false,false,0,0.0
1,Patient_179,true,false,false,0,0.0
1,Patient_180,false,false,false,0,0.0
1,Patient_181,false,false,false,0,0.0
1,Patient_182,false,false,false,0,0.0
1,Patient_183,false,false,false,0,0.0
1,Patient_184,false,false,false,0,0.0
1,Patient_185,false,false,false,0,0.0
1,Patient_186,false,false,false,0,0.0
1,Patient_187,true,false,false,0,0.0
1,Patient_188,true,false,false,0,0.0
1,Patient_189,true,false,false,0,0.0
1,Patient_190,true,false,false,0,0.0
1,Patient_191,false,false,false,0,0.0
1,Patient_192,false,false,false,0,0.0
1,Patient_193,true,false,false,0,0.0
1,Patient_194,false,false,false,0,0.0
1,Patient_195,false,false,false,0,0.0
1,Patient_196,false,false,false,0,0.0
1,Patient_197,false,false,false,0,0.0
1,Patient_198,true,false,false,0,0.0
1,Patient_199,true,false,false,0,0.0
2,Patient_0,true,false,false,0,0.0
2,Patient_1,true,false,false,0,0.0
2,Patient_2,false,false,false,0,0.0
2,Patient_3,false,false,false,0,0.0
2,Patient_4,true,false,false,0,0.0
2,Patient_5,true,false,false,0,0.0
2,Patient_6,true,false,false,0,0.0
2,Patient_7,false,false,false,0,0.0
2,Patient_8,false,false,false,0,0.0
2,Patient_9,false,false,false,0,0.0
2,Patient_10,true,false,false,0,0.0
2,Patient_11,true,false,false,0,0.0
2,Patient_12,true,false,false,0,0.0
2,Patient_13,true,false,false,0,0.0
2,Patient_14,false,false,false,0,0.0
2,Patient_15,false,false,false,0,0.0
2,Patient_16,true,false,false,0,0.0
2,Patient_17,false,false,false,0,0.0
2,Patient_18,true,false,false,0,0.0
2,Patient_19,false,false,false,0,0.0
2,Patient_20,true,false,false,0,0.0
2,Patient_21,true,false,false,0,0.0
2,Patient_22,false,false,false,0,0.0
2,Patient_23,false,false,false,0,0.0
2,Patient_24,false,false,false,0,0.0
2,Patient_25,true,false,false,0,0.0
2,Patient_26,true,false,false,0,0.0
2,Patient_27,false,false,false,0,0.0
2,Patient_28,true,false,false,0,0.0
2,Patient_29,false,false,false,0,0.0
2,Patient_30,false,false,false,0,0.0
2,Patient_31,true,false,false,0,0.0
2,Patient_32,false,false,false,0,0.0
